algo,run_no,itération,coût
ghc,5,3,157.51614212572412
ghc,5,4,157.50603256967713
ghc,5,5,157.50597006967715
ghc,5,6,157.50590756967713
ghc,5,7,157.50590756967713
ghc,5,8,157.50587631967713
ghc,5,9,157.50584506967712
ghc,5,10,157.50578256967714
ghc,5,11,157.50568881967715
ghc,5,12,157.50568881967715
ghc,5,13,157.50562631967713
ghc,5,14,157.50562631967713
ghc,5,15,157.50562631967713
ghc,5,16,157.50556381967712
ghc,5,17,157.50553256967714
ghc,5,18,157.50553256967714
ghc,5,19,157.50543881967712
ghc,5,20,157.50540756967715
ghc,5,21,157.50537631967714
ghc,5,22,157.50534506967713
ghc,5,23,157.50525131967714
ghc,5,24,157.50518881967713
ghc,5,25,157.50512631967715
ghc,5,26,157.50509506967714
ghc,5,27,157.50509506967714
ghc,5,28,157.50503256967713
ghc,5,29,157.50493881967714
ghc,5,30,157.50493881967714
ghc,5,31,157.50493881967714
ghc,5,32,157.50493881967714
ghc,5,33,157.50493881967714
ghc,5,34,157.50490756967713
ghc,5,35,157.50487631967712
ghc,5,36,157.50484506967715
ghc,5,37,157.50475131967713
ghc,5,38,157.50475131967713
ghc,5,39,157.50472006967715
ghc,5,40,157.50468881967714
ghc,5,41,157.50465756967714
ghc,5,42,157.50459506967712
ghc,5,43,157.50450131967713
